"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","8,182.0","8,191.0","8,191.0","8,171.0","11.47K","-0.37%"
"12/30/2025","8,212.0","8,139.0","8,222.0","8,139.0","18.00K","0.83%"
"12/29/2025","8,144.0","8,168.0","8,168.0","8,140.0","32.08K","-0.09%"
"12/24/2025","8,151.0","8,140.0","8,167.0","8,140.0","18.34K","-0.10%"
"12/23/2025","8,159.0","8,121.0","8,167.0","8,121.0","7.51K","0.36%"
"12/22/2025","8,130.0","8,143.0","8,149.0","8,116.0","93.65K","-0.50%"
"12/19/2025","8,170.5","8,124.0","8,175.0","8,122.0","27.63K","0.47%"
"12/18/2025","8,132.0","8,073.0","8,132.0","8,064.0","23.01K","0.80%"
"12/17/2025","8,067.5","8,111.0","8,125.0","8,067.0","28.57K","0.09%"
"12/16/2025","8,060.0","8,102.0","8,119.0","8,060.0","37.09K","-0.71%"
"12/15/2025","8,118.0","8,086.0","8,125.0","8,077.0","595.88K","0.74%"
"12/12/2025","8,058.0","8,117.0","8,128.0","8,058.0","21.56K","-0.28%"
"12/11/2025","8,081.0","8,027.0","8,092.0","8,018.0","21.28K","0.75%"
"12/10/2025","8,021.0","8,008.0","8,026.0","7,995.0","12.76K","0.04%"
"12/09/2025","8,018.0","8,069.0","8,069.0","8,009.0","8.70K","0.07%"
"12/08/2025","8,012.0","8,040.0","8,042.0","8,006.0","28.35K","-0.05%"
"12/05/2025","8,016.0","8,037.0","8,059.0","8,016.0","211.23K","-0.10%"
"12/04/2025","8,024.0","8,027.0","8,031.0","8,007.0","12.66K","0.34%"
"12/03/2025","7,997.0","8,042.0","8,053.0","7,990.0","12.35K","-0.44%"
"12/02/2025","8,032.0","8,012.0","8,058.0","8,008.0","31.70K","0.27%"
"12/01/2025","8,010.0","8,001.0","8,024.0","7,978.0","43.08K","0.01%"
"11/28/2025","8,009.0","7,991.0","8,023.0","7,981.0","54.18K","0.45%"
"11/27/2025","7,973.5","7,972.0","7,993.0","7,970.0","10.92K","-0.09%"
"11/26/2025","7,980.5","7,950.0","7,987.0","7,923.0","9.32K","0.97%"
"11/25/2025","7,904.0","7,853.0","7,909.0","7,830.0","23.82K","0.51%"
"11/24/2025","7,864.0","7,895.0","7,902.0","7,850.0","36.04K","0.29%"
"11/21/2025","7,841.0","7,794.0","7,852.0","7,790.0","33.36K","-0.46%"
"11/20/2025","7,877.0","7,933.0","7,949.0","7,877.0","22.55K","0.14%"
"11/19/2025","7,866.0","7,869.0","7,914.0","7,845.0","15.46K","0.06%"
"11/18/2025","7,861.0","7,904.0","7,914.0","7,838.0","44.27K","-1.63%"
"11/17/2025","7,991.0","8,044.0","8,054.0","7,979.0","35.99K","-0.84%"
"11/14/2025","8,058.5","8,105.0","8,105.0","8,000.0","10.07K","-0.95%"
"11/13/2025","8,136.0","8,205.0","8,228.0","8,136.0","17.46K","-0.61%"
"11/12/2025","8,186.0","8,143.0","8,209.0","8,141.0","15.98K","1.00%"
"11/11/2025","8,105.0","8,039.0","8,112.0","8,036.0","37.44K","1.55%"
"11/10/2025","7,981.5","7,968.0","7,993.0","7,951.0","15.59K","1.25%"
"11/07/2025","7,883.0","7,934.0","7,936.0","7,873.0","101.57K","-0.53%"
"11/06/2025","7,925.0","7,986.0","7,986.0","7,925.0","21.71K","-0.71%"
"11/05/2025","7,982.0","7,927.0","7,997.0","7,927.0","53.10K","0.18%"
"11/04/2025","7,968.0","7,903.0","7,968.0","7,856.0","64.09K","0.20%"
"11/03/2025","7,952.0","7,963.0","7,990.0","7,952.0","23.68K","-0.14%"
"10/31/2025","7,963.0","8,010.0","8,014.0","7,956.0","16.02K","-0.60%"
"10/30/2025","8,011.0","8,022.0","8,022.0","7,974.0","31.79K","-0.26%"
"10/29/2025","8,032.0","8,020.0","8,058.0","8,018.0","31.22K","0.34%"
"10/28/2025","8,005.0","7,975.0","8,018.0","7,968.0","20.44K","0.34%"
"10/27/2025","7,978.0","7,973.0","7,981.0","7,951.0","38.23K","0.05%"
"10/24/2025","7,974.0","7,957.0","7,974.0","7,920.0","21.05K","0.53%"
"10/23/2025","7,932.0","7,889.0","7,940.0","7,887.0","25.51K","0.69%"
"10/22/2025","7,878.0","7,908.0","7,920.0","7,878.0","25.45K","-0.13%"
"10/21/2025","7,888.0","7,895.0","7,898.0","7,867.0","19.00K","0.01%"
"10/20/2025","7,887.0","7,854.0","7,886.0","7,834.0","28.10K","0.86%"
"10/17/2025","7,820.0","7,784.0","7,848.0","7,760.0","22.13K","-0.74%"
"10/16/2025","7,878.0","7,843.0","7,878.0","7,813.0","17.56K","0.75%"
"10/15/2025","7,819.0","7,855.0","7,861.0","7,819.0","25.87K","0.19%"
"10/14/2025","7,804.0","7,772.0","7,804.0","7,736.0","19.47K","0.17%"
"10/13/2025","7,791.0","7,805.0","7,829.0","7,765.0","33.14K","0.15%"
"10/10/2025","7,779.0","7,875.0","7,884.0","7,779.0","16.38K","-1.06%"
"10/09/2025","7,862.0","7,889.0","7,902.0","7,862.0","24.79K","-0.19%"
"10/08/2025","7,877.0","7,830.0","7,886.0","7,827.0","25.25K","0.51%"
"10/07/2025","7,837.0","7,851.0","7,871.0","7,834.0","9.37K","-0.22%"
"10/06/2025","7,854.0","7,868.0","7,902.0","7,815.0","10.33K","-0.24%"
"10/03/2025","7,873.0","7,869.0","7,883.0","7,867.0","14.58K","0.37%"
"10/02/2025","7,844.0","7,830.0","7,866.0","7,826.0","22.47K","0.80%"
"10/01/2025","7,782.0","7,723.0","7,792.0","7,720.0","22.93K","0.97%"
"09/30/2025","7,707.0","7,675.0","7,713.0","7,656.0","20.78K","0.31%"
"09/29/2025","7,683.0","7,690.0","7,699.0","7,668.0","169.76K","0.25%"
"09/26/2025","7,664.0","7,634.0","7,674.0","7,634.0","9.64K","0.56%"
"09/25/2025","7,621.0","7,634.0","7,640.0","7,600.0","14.20K","-0.34%"
"09/24/2025","7,647.0","7,662.0","7,668.0","7,633.0","8.21K","-0.18%"
"09/23/2025","7,661.0","7,663.0","7,693.0","7,656.0","26.44K","0.31%"
"09/22/2025","7,637.0","7,646.0","7,651.0","7,623.0","37.07K","-0.10%"
