date,etf_id,isin,ticker,open,high,low,close,adjusted_close,volume,currency,source,download_date
04-01-16,ETF05,IE00B3VWN518,CBU0,136.17999267578125,136.17999267578125,136.17999267578125,136.17999267578125,136.17999267578125,0,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
05-01-16,ETF05,IE00B3VWN518,CBU0,135.8350067138672,135.8350067138672,135.8350067138672,135.8350067138672,135.8350067138672,0,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
06-01-16,ETF05,IE00B3VWN518,CBU0,136.39999389648438,136.39999389648438,136.39999389648438,136.35000610351562,136.35000610351562,40,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
07-01-16,ETF05,IE00B3VWN518,CBU0,137.13999938964844,137.13999938964844,137.13999938964844,136.44000244140625,136.44000244140625,938,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
08-01-16,ETF05,IE00B3VWN518,CBU0,137.125,137.125,137.125,137.125,137.125,0,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
11-01-16,ETF05,IE00B3VWN518,CBU0,136.98500061035156,136.98500061035156,136.98500061035156,136.98500061035156,136.98500061035156,0,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
12-01-16,ETF05,IE00B3VWN518,CBU0,137.23500061035156,137.23500061035156,137.23500061035156,137.23500061035156,137.23500061035156,0,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
13-01-16,ETF05,IE00B3VWN518,CBU0,137.1300048828125,137.1300048828125,137.1300048828125,137.44500732421875,137.44500732421875,2110,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
14-01-16,ETF05,IE00B3VWN518,CBU0,137.86000061035156,137.86000061035156,137.86000061035156,137.77999877929688,137.77999877929688,2175,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
15-01-16,ETF05,IE00B3VWN518,CBU0,138.36500549316406,138.36500549316406,138.36500549316406,138.36500549316406,138.36500549316406,0,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
18-01-16,ETF05,IE00B3VWN518,CBU0,138.32000732421875,138.32000732421875,138.32000732421875,138.32000732421875,138.32000732421875,0,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
19-01-16,ETF05,IE00B3VWN518,CBU0,138.15499877929688,138.15499877929688,138.15499877929688,138.15499877929688,138.15499877929688,0,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
20-01-16,ETF05,IE00B3VWN518,CBU0,138.97999572753906,138.97999572753906,138.97999572753906,139.0800018310547,139.0800018310547,25,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
21-01-16,ETF05,IE00B3VWN518,CBU0,138.7899932861328,138.7899932861328,138.7899932861328,138.7899932861328,138.7899932861328,0,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
22-01-16,ETF05,IE00B3VWN518,CBU0,138.0800018310547,138.0800018310547,138.0800018310547,138.0800018310547,138.0800018310547,0,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
25-01-16,ETF05,IE00B3VWN518,CBU0,138.47999572753906,138.47999572753906,138.47999572753906,138.47999572753906,138.47999572753906,0,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
26-01-16,ETF05,IE00B3VWN518,CBU0,138.64500427246094,138.64500427246094,138.64500427246094,138.64500427246094,138.64500427246094,0,USD,Yahoo Finance via yfinance (CBU0.L),18-04-26
